Book Title,Author,Series
Day of the Dragon,Richard A. Knaak,Original series
Lord of the Clans,Christie Golden,Original series
The Last Guardian,Jeff Grubb,Original series
The Well of Eternity,Richard A. Knaak,War of the Ancients
The Demon Soul,Richard A. Knaak,War of the Ancients
The Sundering,Richard A. Knaak,War of the Ancients
Cycle of Hatred,Keith R. A. DeCandido,WoW
Rise of the Horde,Christie Golden,WoW
Tides of Darkness,Aaron Rosenberg,WoW
Beyond the Dark Portal,Aaron Rosenberg & Christie Golden,WoW
Night of the Dragon,Richard A. Knaak,WoW
Arthas: Rise of the Lich King,Christie Golden,WoW
Stormrage,Richard A. Knaak,WoW
The Shattering: Prelude to Cataclysm,Christie Golden,WoW
Thrall: Twilight of the Aspects,Christie Golden,WoW
Wolfheart,Richard A. Knaak,WoW
Jaina Proudmoore: Tides of War,Christie Golden,WoW
Dawn of the Aspects,Richard A. Knaak,WoW
Vol'jin: Shadows of the Horde,Michael Stackpole,WoW
War Crimes,Christie Golden,WoW
Illidan,William King,WoW
Traveler,Greg Weisman,WoW
Traveler: The Spiral Path,Greg Weisman,WoW
Before the Storm,Christie Golden,WoW
Traveler: The Shining Blade,Madeleine Roux,WoW
Shadows Rising,Madeleine Roux,WoW
Rise of the Horde & Lord of the Clans: The Illustrated Novels,Christie Golden,WoW
Sylvanas,Christie Golden,WoW
